codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
903031,,38,-22.841705,-43.274755,2023-07-24 22:48:25,58.4,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],40092.9,289
902092,,35,-22.952113,-43.374459,2023-07-24 22:48:21,14.7,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],7130.9,29
903032,,38,-22.839834,-43.239504,2023-07-24 22:41:44,1.5,,ida,,42183.4,136
901075,,41,-22.964522,-43.391759,2023-07-24 21:47:54,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],48571.6,242
903055,,17,-22.919051,-43.60799,2023-07-24 22:37:38,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],18565.3,225
902112,,31,-22.876369,-43.330273,2023-07-24 21:19:02,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],11288.0, 
903037,,17,-22.920237,-43.608102,2023-07-24 22:11:37,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],20331.3,173
903002,,42,-22.816747,-43.240014,2023-07-24 22:48:31,47.7,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],6443.0,305
901080,,53,-22.973398,-43.368564,2023-07-24 22:48:18,59.6,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],30883.8,90
902110,,35,-22.877003,-43.329541,2023-07-24 22:11:43,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],8476.2, 
902114,,35,-22.876404,-43.330381,2023-07-24 21:29:24,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],8645.7,352
902078,,31,-22.876384,-43.330092,2023-07-24 22:21:43,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],10101.8, 
902111,,35,-22.973247,-43.378143,2023-07-24 22:48:18,41.0,,volta,35 - ALVORADA  X  MADUREIRA (PARADOR) [VOLTA],10139.4,275
902025,,35,-22.876387,-43.329747,2023-07-24 22:38:50,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],9569.7, 
903054,,17,-22.920204,-43.607666,2023-07-24 22:13:22,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],17488.0, 
903021,,0,-22.877008,-43.329612,2023-07-24 21:18:09,0.1,,,,34270.1,179
903056,,17,-22.910865,-43.584064,2023-07-24 22:48:33,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],14254.7,117
903000,,42,-22.827145,-43.233745,2023-07-24 22:48:27,62.9,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],31310.4,218
903058,,17,-22.901601,-43.555174,2023-07-24 22:46:06,0.0,,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],8775.5,290
901072,,52,-22.964701,-43.392076,2023-07-24 22:10:12,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],38263.6, 
902045,,35,-22.876481,-43.329699,2023-07-24 21:56:52,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],6820.9, 
903008,,38,-22.839944,-43.239347,2023-07-24 22:48:22,0.0,,ida,,48088.8, 
903007,,50,-23.000313,-43.342973,2023-07-24 22:48:31,0.0,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],40947.3,90
903004,,42,-22.85508,-43.251834,2023-07-24 22:48:34,0.0,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],38648.8,73
903006,,42,-22.876582,-43.329543,2023-07-24 22:43:50,4.5,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],46006.0,87
901046,,52,-22.965388,-43.391223,2023-07-24 21:12:36,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],28171.3,63
903005,,42,-22.87892,-43.333461,2023-07-24 22:48:20,44.8,,volta,42 - MADUREIRA MANANCEIA X GALEAO (PARADOR) [VOLTA],38423.7,122
903022,,50,-22.876641,-43.329503,2023-07-24 22:00:34,0.0,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],37419.5,83
903035,,17,-22.90947,-43.579598,2023-07-24 22:48:20,51.9,,volta,17 - CAMPO GRANDE  X SANTA CRUZ (PARADOR) [VOLTA],19294.7,263
901059,,51,-22.868312,-43.413385,2023-07-24 22:48:19,0.0,,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],47885.0,242
903003,,50,-22.988704,-43.365789,2023-07-24 22:48:28,15.3,,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],41138.7,6
901019,,52,-23.000936,-43.366026,2023-07-24 22:14:18,0.0,,volta,52 - SENTIDO V. MILITAR (PARADOR) [VOLTA],31830.2, 
901020,,22,-23.000766,-43.366122,2023-07-24 21:15:37,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],25375.7,51
901021,,22,-23.003289,-43.324073,2023-07-24 22:48:34,10.5,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],17356.1,284
901022,,22,-23.000703,-43.365977,2023-07-24 21:09:16,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],18486.4, 
901023,,0,-23.000739,-43.366145,2023-07-24 19:48:54,0.0,,,,33278.5,47
901024,,40,-23.000756,-43.365905,2023-07-24 21:50:44,0.0,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],20446.8,49
901025,,51,-23.008476,-43.440609,2023-07-24 22:48:14,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],40274.5, 
901026,,51,-23.000909,-43.36646,2023-07-24 22:44:39,0.1,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],32587.9,88
901027,,51,-23.000855,-43.368157,2023-07-24 22:38:13,20.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],25487.8,4
901028,,40,-22.964775,-43.391952,2023-07-24 20:59:11,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],23529.2,340
903001,,38,-22.915909,-43.361501,2023-07-24 22:48:20,27.6,,volta,38 - ALVORADA X FUNDÃO (PARADOR) [VOLTA],46363.8,27
901029,,51,-22.964754,-43.392237,2023-07-24 21:57:39,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],24752.5, 
901030,,46,-22.964745,-43.39221,2023-07-24 22:37:33,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],21574.7, 
901031,,40,-22.964491,-43.39179,2023-07-24 21:25:52,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],24342.4,357
901032,,52,-22.96518,-43.391301,2023-07-24 22:18:19,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],25278.5, 
901033,,40,-22.964499,-43.391762,2023-07-24 22:20:35,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],26774.2,344
901034,,0,-22.964867,-43.391612,2023-07-24 22:37:04,0.0,,,,27234.4,61
901035,,41,-22.964526,-43.39175,2023-07-24 21:07:25,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],25831.1,73
901036,,40,-22.964507,-43.391936,2023-07-24 22:06:07,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],22476.9, 
901037,,53,-22.964732,-43.391978,2023-07-24 20:49:44,0.0,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],19861.4, 
901038,,40,-22.96478,-43.391884,2023-07-24 22:29:34,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],27009.8, 
901039,,40,-22.964498,-43.391724,2023-07-24 21:05:22,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],24546.2,67
901040,,51,-22.98969,-43.417853,2023-07-24 22:48:18,0.0,,ida,51 - SENTIDO RECREIO (PARADOR) [IDA],29354.0,228
901041,,22,-22.964389,-43.391763,2023-07-24 22:46:34,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],25818.0, 
901042,,52,-22.965303,-43.392048,2023-07-24 22:45:29,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],29573.9, 
901043,,22,-22.964448,-43.391755,2023-07-24 22:19:19,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],25144.8, 
901054,,46,-22.965086,-43.391355,2023-07-24 22:34:08,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],21090.4,151
903009,,42,-22.839478,-43.239651,2023-07-24 22:42:04,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],46654.0, 
903010,,38,-22.852559,-43.312621,2023-07-24 22:48:26,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],43162.9,221
903011,,38,-22.957741,-43.380653,2023-07-24 22:48:33,58.3,,volta,38 - ALVORADA X FUNDÃO (PARADOR) [VOLTA],44907.7,51
903012,,38,-22.958631,-43.38362,2023-07-24 22:48:25,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],47656.7,253
903015,,38,-22.839554,-43.239801,2023-07-24 22:34:39,0.0,,ida,,47479.7, 
903016,,42,-22.872607,-43.336308,2023-07-24 22:48:37,14.2,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],42095.2,144
903017,,50,-22.876682,-43.329533,2023-07-24 22:36:00,0.0,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],44615.4,83
903018,,38,-22.955421,-43.37757,2023-07-24 22:48:23,7.9,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],10723.3,227
903019,,50,-22.876099,-43.32944,2023-07-24 15:02:37,0.0,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],4452.0, 
903020,,50,-22.876845,-43.330121,2023-07-24 22:48:36,0.0,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],43494.9,271
903023,,42,-22.876984,-43.330228,2023-07-24 21:48:55,0.0,,ida,42 - GALEÃO X MADUREIRA MANANCEIA (PARADOR) [IDA],39307.7, 
903024,,50,-22.973239,-43.386297,2023-07-24 22:48:23,59.1,,volta,50 - SENTIDO T. OLIMPICO (PARADOR) [VOLTA],37672.0,266
903025,,50,-22.876895,-43.33012,2023-07-24 22:29:09,2.7,,ida,50 - SENTIDO JD. OCEANICO (PARADOR) [IDA],39210.7,178
903013,,38,-22.872086,-43.336245,2023-07-24 22:48:24,0.0,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],43943.9,200
903014,,38,-22.917906,-43.364198,2023-07-24 22:48:23,48.5,,ida,38 - FUNDÃO X ALVORADA (PARADOR) [IDA],51260.6,236
902097,,35,-22.97329,-43.382504,2023-07-24 22:48:28,26.4,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],10960.6,93
901045,,40,-22.965697,-43.391258,2023-07-24 21:24:45,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],31912.5, 
901053,,40,-22.964344,-43.391783,2023-07-24 22:43:55,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],19547.8, 
901060,,51,-22.95281,-43.390359,2023-07-24 22:48:34,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],24465.2,25
903052,,17,-22.916371,-43.683753,2023-07-24 22:48:24,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],21506.4,358
903060,,17,-22.927094,-43.678183,2023-07-24 22:48:22,0.0,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],20156.8,136
903063,,17,-22.927586,-43.652978,2023-07-24 22:48:21,37.3,,ida,17 - SANTA CRUZ X CAMPO GRANDE (PARADOR) [IDA],21159.1,32
901000,,22,-22.96534,-43.391744,2023-07-24 22:38:54,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],30089.9,171
902113,,31,-22.876337,-43.330065,2023-07-24 22:16:14,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],8595.0, 
902118,,35,-22.876391,-43.33032,2023-07-24 21:25:55,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],7639.2, 
902117,,35,-22.876477,-43.329977,2023-07-24 22:15:54,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],10068.1, 
901052,,51,-22.964546,-43.392102,2023-07-24 22:26:10,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],20219.2, 
901056,,41,-22.964433,-43.391702,2023-07-24 21:48:19,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],25052.1, 
901044,,22,-22.986264,-43.365628,2023-07-24 22:48:31,59.2,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],29311.1,1
903033,,38,-22.839605,-43.239709,2023-07-24 22:48:30,0.0,,ida,,35983.8,149
902049,,46,-22.854894,-43.252098,2023-07-24 21:18:43,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],35712.5, 
902020,,46,-22.853617,-43.321151,2023-07-24 22:48:19,46.5,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],31253.1,60
902022,,41,-22.85434,-43.251897,2023-07-24 21:33:53,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],30298.4, 
