codigo,placa,linha,latitude,longitude,dataHora,velocidade,id_migracao_trajeto,sentido,trajeto,hodometro,direcao
E902004,,41,-22.854782,-43.252048,2023-07-25 21:50:52,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],13269.1,159
12713,,11,-22.923517,-43.648487,2023-07-25 23:00:06,52.7,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],35214.1,44
12705,,11,-22.919741,-43.60832,2023-07-25 23:00:12,0.0,,ida,11 - SANTA CRUZ X ALVORADA (PARADOR) [IDA],29635.3, 
902062,,46,-22.854662,-43.251476,2023-07-25 23:00:06,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],33233.4, 
902048,,46,-22.854417,-43.251703,2023-07-25 22:59:13,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],23925.0, 
44705,,0,-22.91982,-43.607738,2023-07-25 22:00:11,0.0,,,,12732.1, 
902058,,46,-23.001037,-43.367605,2023-07-25 23:00:14,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],34541.5, 
902021,,46,-22.854812,-43.252033,2023-07-25 22:57:51,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],28474.1, 
12728,,19,-22.920449,-43.607744,2023-07-25 22:45:43,0.0,,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],42500.0, 
901068,,51,-22.965779,-43.391352,2023-07-25 23:00:13,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],50779.1, 
44731,,0,-22.920193,-43.607418,2023-03-08 06:32:40,0.0,,,,2058.1, 
902003,,41,-22.854344,-43.251814,2023-07-25 22:24:13,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],17394.1, 
902102,,35,-22.876412,-43.329745,2023-07-25 22:34:35,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],12378.2, 
901016,,40,-23.000971,-43.366488,2023-07-25 22:07:24,0.0,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],37350.9,78
901082,,40,-22.983706,-43.365653,2023-07-25 23:00:22,0.0,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],47029.5,350
902061,,46,-22.854806,-43.252068,2023-07-25 22:59:30,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],28945.9, 
902066,,46,-22.854724,-43.251935,2023-07-25 23:00:13,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],31314.0, 
902005,,40,-22.965347,-43.391552,2023-07-25 22:44:41,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],18982.4, 
902052,,46,-22.854418,-43.251463,2023-07-25 22:55:31,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],35583.1, 
902050,,43,-22.854387,-43.251592,2023-07-25 22:38:45,0.0,,volta,43 - SANTA EFIGENIA X FUNDÃO (EXPRESSO) [VOLTA],31239.8, 
12716,,18,-22.919992,-43.607229,2023-07-25 23:00:12,0.0,,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],45551.6, 
902016,,46,-23.001303,-43.364809,2023-07-25 23:00:10,0.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],18629.9, 
902019,,40,-22.965594,-43.391778,2023-07-25 23:00:16,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],17353.3, 
E902009,,35,-22.964679,-43.391668,2023-07-20 19:23:08,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],3193.4, 
902063,,40,-22.854409,-43.251588,2023-07-25 22:45:30,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],33234.699, 
902017,,31,-22.964735,-43.391501,2023-07-25 21:19:26,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],23870.5, 
E902015,,46,-22.965706,-43.391754,2023-07-25 22:23:12,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],8188.1, 
902057,,46,-22.854142,-43.251657,2023-07-25 22:29:48,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],29122.5,34
902060,,41,-22.854698,-43.251836,2023-07-25 23:00:12,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],30130.1, 
902008,,46,-22.964925,-43.391622,2023-07-25 22:22:23,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],10524.6, 
902047,,46,-22.854687,-43.251856,2023-07-25 20:14:40,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],24265.8,154
902007,,40,-22.965517,-43.39179,2023-07-25 22:32:49,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],18902.4, 
902051,,46,-22.907189,-43.357918,2023-07-25 23:00:17,44.0,,volta,46 - ALVORADA X PENHA (EXPRESSO) [VOLTA],32965.6,16
902067,,41,-22.854418,-43.25201,2023-07-25 22:12:15,0.0,,volta,41 - TERMINAL RECREIO X PAULO DA PORTELA (EXPRESSO) [VOLTA],34072.7, 
901088,,31,-22.964599,-43.391931,2023-07-25 23:00:15,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],41618.1, 
901078,,52,-22.964514,-43.391798,2023-07-25 23:00:13,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],33603.6, 
901098,,40,-23.000674,-43.366202,2023-07-25 21:16:13,0.0,,volta,40 - ALVORADA X PAULO DA PORTELA (EXPRESSO) [VOLTA],27256.8, 
901090,,53,-23.000951,-43.365194,2023-07-25 23:00:12,0.0,,volta,53 - SENTIDO SULACAP (EXPRESSO) [VOLTA],36750.6, 
901055,,51,-22.964754,-43.392143,2023-07-25 23:00:16,0.0,,volta,51 - SENTIDO V. MILITAR (PARADOR) [VOLTA],46637.0, 
901076,,52,-22.964437,-43.391898,2023-07-25 22:50:36,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],31253.7, 
902054,,46,-22.854721,-43.251896,2023-07-25 23:00:05,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],35704.7, 
901079,,40,-22.964735,-43.391958,2023-07-25 21:30:54,0.0,,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],44035.0,348
901084,,53,-22.89965,-43.397654,2023-07-25 23:00:13,55.4,,ida,53 - SENTIDO ALVORADA (EXPRESSO) [IDA],52288.1,172
901070,,52,-22.964748,-43.392029,2023-07-25 21:05:46,0.0,,ida,52 - SENTIDO ALVORADA (PARADOR) [IDA],40455.0,349
902080,,43,-22.854404,-43.252042,2023-07-25 21:59:30,0.0,,volta,43 - SANTA EFIGENIA X FUNDÃO (EXPRESSO) [VOLTA],34337.1, 
901081,,0,-22.965119,-43.391344,2023-07-25 22:15:37,0.3,,,,41786.7,71
902065,,46,-22.843022,-43.270524,2023-07-25 23:00:17,51.2,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],35351.8,115
901069,,22,-22.964732,-43.392148,2023-07-25 22:26:24,0.0,,ida,22 - ALVORADA X J. OCEÂNICO (PARADOR) [IDA],37699.1,340
901074,,22,-23.003154,-43.324172,2023-07-25 23:00:12,5.9,,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],39479.9,303
901085,,53,-22.934779,-43.395611,2023-07-25 23:00:06,58.9,,volta,53 - SENTIDO SULACAP (EXPRESSO) [VOLTA],43512.6,354
902073,,35,-22.876413,-43.330121,2023-07-25 22:22:08,0.0,,ida,35 - MADUREIRA X ALVORADA (PARADOR) [IDA],9883.0, 
902030,,31,-22.876508,-43.329778,2023-07-25 22:59:07,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],11287.3, 
902071,,46,-22.854364,-43.251741,2023-07-25 22:49:58,0.0,,ida,46 - PENHA X ALVORADA (EXPRESSO) [IDA],35904.9, 
902072,,43,-22.854718,-43.251948,2023-07-25 21:47:57,0.0,,volta,43 - SANTA EFIGENIA X FUNDÃO (EXPRESSO) [VOLTA],32687.8,163
902101,,31,-22.876368,-43.330101,2023-07-25 22:17:50,0.0,,ida,31 - VICENTE DE CARVALHO X ALVORADA (SEMIDIRETO) [IDA],10054.6, 
